channel,process,systematic,bin,sum_w,sum_ww
controlregion,single_top_t_chan,nominal,19,16.077907274563614,0.08528508819843801
controlregion,single_top_t_chan,nominal,20,0.0,0.0
controlregion,ttbar,jesDown,0,63.476194243920524,1.2678499797646094
controlregion,ttbar,jesDown,1,409.2796401045234,8.174799853793774
controlregion,ttbar,jesDown,2,1175.3881695003117,23.476767702708614
controlregion,ttbar,jesDown,3,2254.3636298705405,45.02782368347771
controlregion,ttbar,jesDown,4,3303.318725247499,65.97926401931723
controlregion,ttbar,jesDown,5,3709.4425319062893,74.09103042540717
controlregion,ttbar,jesDown,6,3422.741055450268,68.36456138527463
controlregion,ttbar,jesDown,7,2989.5929282087136,59.71302121498661
controlregion,ttbar,jesDown,8,2549.0345844585077,50.91347212635603
controlregion,ttbar,jesDown,9,2143.330224017188,42.810083583568506
controlregion,ttbar,jesDown,10,1780.5691667931212,35.56442866459908
controlregion,ttbar,jesDown,11,1468.081734777345,29.32292050430414
controlregion,ttbar,jesDown,12,1212.0198058260985,24.208434431119027
controlregion,ttbar,jesDown,13,988.9742862786283,19.753405883594986
controlregion,ttbar,jesDown,14,820.8961948492415,16.396276374558113
controlregion,ttbar,jesDown,15,680.2418965906863,13.586899547150189
controlregion,ttbar,jesDown,16,563.7756635396163,11.260646170181204
controlregion,ttbar,jesDown,17,471.41760117841795,9.415920460164982
controlregion,ttbar,jesDown,18,386.66949161990476,7.723193127206757
controlregion,ttbar,jesDown,19,326.96831333322183,6.530743917163831
controlregion,ttbar,jesDown,20,0.0,0.0
controlregion,ttbar,jesUp,0,46.43868836284305,0.927549151338174
controlregion,ttbar,jesUp,1,330.46369847881215,6.600559444683909
controlregion,ttbar,jesUp,2,992.7692758652693,19.829205599188214
controlregion,ttbar,jesUp,3,1974.4731610410697,39.43739518554144
controlregion,ttbar,jesUp,4,3034.014280001816,60.600276833298906
controlregion,ttbar,jesUp,5,3609.494490371809,72.0947052842045
controlregion,ttbar,jesUp,6,3442.05555508333,68.750342043057
controlregion,ttbar,jesUp,7,3034.933066954371,60.6186283433899
controlregion,ttbar,jesUp,8,2624.754613526696,52.42587592537668
controlregion,ttbar,jesUp,9,2229.1169623046767,44.52355610184698
controlregion,ttbar,jesUp,10,1859.744633748093,37.145850099396725
controlregion,ttbar,jesUp,11,1550.632745101487,30.9717637913926
controlregion,ttbar,jesUp,12,1282.1472186613423,25.609133386107555
controlregion,ttbar,jesUp,13,1054.8872633097603,21.06992725968788
controlregion,ttbar,jesUp,14,874.365600762072,17.464254472679528
controlregion,ttbar,jesUp,15,728.1386598999757,14.543571747111024
controlregion,ttbar,jesUp,16,600.9066406004874,12.0022865453802
controlregion,ttbar,jesUp,17,510.2862839973825,10.192269126188245
controlregion,ttbar,jesUp,18,418.0880106714111,8.350734983144369
controlregion,ttbar,jesUp,19,352.65440074595995,7.043788307968516
controlregion,ttbar,jesUp,20,0.0,0.0
controlregion,ttbar,nominal,0,54.867559971066605,1.095904309129447
controlregion,ttbar,nominal,1,367.97417449834734,7.349779791442227
controlregion,ttbar,nominal,2,1077.3575963885555,21.518741365174094
controlregion,ttbar,nominal,3,2111.452311489404,42.173365972585394
controlregion,ttbar,nominal,4,3173.6099759019926,63.38850952951504
controlregion,ttbar,nominal,5,3661.3460323029663,73.1303687667309
controlregion,ttbar,nominal,6,3431.5693996465593,68.54089546049677
controlregion,ttbar,nominal,7,3020.4122383781187,60.32859469477792
controlregion,ttbar,nominal,8,2585.3466427138405,51.63875572082175
controlregion,ttbar,nominal,9,2184.935294064415,43.6410878339932
controlregion,ttbar,nominal,10,1821.4152389230196,36.38027297190513
controlregion,ttbar,nominal,11,1511.843956800136,30.19701090885551
controlregion,ttbar,nominal,12,1243.8577710950758,24.844354150359045
controlregion,ttbar,nominal,13,1024.147847657969,20.455949563382738
controlregion,ttbar,nominal,14,846.0829415268953,16.899347118574216
controlregion,ttbar,nominal,15,705.2289069743065,14.08598083245086
controlregion,ttbar,nominal,16,582.7905587316278,11.640442639890425
controlregion,ttbar,nominal,17,491.07165251133733,9.80848319776359
controlregion,ttbar,nominal,18,399.9719288025514,7.988891077654595
controlregion,ttbar,nominal,19,339.7314625219774,6.78567032908
controlregion,ttbar,nominal,20,0.0,0.0
controlregion,wjets,jesDown,0,1000.6762880484392,731.9832115953238
controlregion,wjets,jesDown,1,4799.29614465337,3510.630008243362
controlregion,wjets,jesDown,2,11370.257471801857,8317.212749296574
controlregion,wjets,jesDown,3,18826.319901683248,13771.236781307638
controlregion,wjets,jesDown,4,24305.900364966037,17779.486955328524
controlregion,wjets,jesDown,5,27174.798319444093,19878.05285874728
controlregion,wjets,jesDown,6,27531.03322608122,20138.63460147164
controlregion,wjets,jesDown,7,26092.19531775426,19086.141197079825
controlregion,wjets,jesDown,8,23916.74847516942,17494.826817485897
controlregion,wjets,jesDown,9,21012.739071987915,15370.577292607655
controlregion,wjets,jesDown,10,18355.241298245237,13426.64819339288
controlregion,wjets,jesDown,11,16006.431677687096,11708.520932842745
controlregion,wjets,jesDown,12,13558.87110765049,9918.15848693781
