channel,process,systematic,bin,sum_w,sum_ww
controlregion,tprime,jesUp,0,0.11063650650585673,1.0444058508379245e-05
controlregion,tprime,jesUp,1,0.14764120834058014,1.3937293094799608e-05
controlregion,tprime,jesUp,2,0.15462678980937997,1.4596730236113655e-05
controlregion,tprime,jesUp,3,0.16047957428323928,1.5149231624782182e-05
controlregion,tprime,jesUp,4,0.1622731695252284,1.5318546566470924e-05
controlregion,tprime,jesUp,5,0.1524555955690773,1.4391770043543073e-05
controlregion,tprime,jesUp,6,0.15887477854040688,1.499773930853436e-05
controlregion,tprime,jesUp,7,0.1406556268717803,1.327785595348556e-05
controlregion,tprime,jesUp,8,0.12961085617111032,1.2235232365191727e-05
controlregion,tprime,jesUp,9,0.125268467690505,1.1825311980050563e-05
controlregion,tprime,jesUp,10,0.10940930976133784,1.0328211443013265e-05
controlregion,tprime,jesUp,11,0.08949096260030048,8.447924458996182e-06
controlregion,tprime,jesUp,12,0.07523660041396571,7.102316238206705e-06
controlregion,tprime,jesUp,13,0.05512945375377161,5.2042066287487026e-06
controlregion,tprime,jesUp,14,0.049182269530333916,4.642793927359716e-06
controlregion,tprime,jesUp,15,0.033323111601166744,3.1456933903224178e-06
controlregion,tprime,jesUp,16,0.027281527628150677,2.575369376212971e-06
controlregion,tprime,jesUp,17,0.019918347161037346,1.8802869840170826e-06
controlregion,tprime,jesUp,18,0.015103959932540167,1.4258100352736171e-06
controlregion,tprime,jesUp,19,0.0,0.0
controlregion,tprime,nominal,0,0.1146956957377269,1.0827244955359031e-05
controlregion,tprime,nominal,1,0.1500956018296179,1.416898722553157e-05
controlregion,tprime,nominal,2,0.15519318830685022,1.4650198112436416e-05
controlregion,tprime,nominal,3,0.1647275630142662,1.5550240697202887e-05
controlregion,tprime,nominal,4,0.16198997027649328,1.5291812628309543e-05
controlregion,tprime,nominal,5,0.15217239632034218,1.4365036105381692e-05
controlregion,tprime,nominal,6,0.158402779792515,1.495318274493206e-05
controlregion,tprime,nominal,7,0.14131642511882894,1.3340235142528781e-05
controlregion,tprime,nominal,8,0.1308380529156292,1.2351079430557708e-05
controlregion,tprime,nominal,9,0.1225308749527321,1.1566883911157219e-05
controlregion,tprime,nominal,10,0.10761571451934869,1.0158896501324523e-05
controlregion,tprime,nominal,11,0.09005736109777074,8.501392335318942e-06
controlregion,tprime,nominal,12,0.07136621068125229,6.736952416667841e-06
controlregion,tprime,nominal,13,0.05465745500587973,5.159650065146402e-06
controlregion,tprime,nominal,14,0.04559507904635563,4.304164043982232e-06
controlregion,tprime,nominal,15,0.03209591485664785,3.0298463249564367e-06
controlregion,tprime,nominal,16,0.025582332135739908,2.414965747244689e-06
controlregion,tprime,nominal,17,0.020107146660194097,1.898109609458003e-06
controlregion,tprime,nominal,18,0.013310364690551022,1.256495093584875e-06
controlregion,tprime,nominal,19,0.0,0.0
controlregion,ttbar,jesDown,0,977.3495034868286,19.041783987838894
controlregion,ttbar,jesDown,1,571.5168314983381,11.134911320852925
controlregion,ttbar,jesDown,2,348.8641298428186,6.796949686752318
controlregion,ttbar,jesDown,3,212.657878768813,4.14323164475045
controlregion,ttbar,jesDown,4,133.34223749828274,2.597918220492174
controlregion,ttbar,jesDown,5,89.56374426937548,1.7449780917011284
controlregion,ttbar,jesDown,6,61.098956282088636,1.1903961922068171
controlregion,ttbar,jesDown,7,40.01825771792413,0.7796791386456641
controlregion,ttbar,jesDown,8,26.711310287864645,0.5204187434679676
controlregion,ttbar,jesDown,9,20.009128858962065,0.38983956932283204
controlregion,ttbar,jesDown,10,13.87195691098441,0.2702685232306294
